products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Barclay Ankle Boot,,Free People,$76,$168,"Snakeskin embossed leather upper with leather sole
Pull-on styling
Stacked heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. FREE-WZ188
Manufacturer Style No. OB949764",tan snake,,western,block,snake
Dely Bootie,,Giuseppe Zanotti,$437,$950,"Suede and real dyed pony hair upper with leather and man made sole
Fur Origin: New Zealand
Side zipper closure
Wedge measures approx 3.5"" H
Made in Italy
This item is not available for international export
Revolve Style No. GIZR-WZ55
Manufacturer Style No. I970033",Black,,wedge,wedge,suede
Kana Sneaker Heel,,Giuseppe Zanotti,$450,$750,"Canvas upper with rubber sole
Side zip closure
Lace-up front
Silver-tone stud accents with engraved logo detail
Leather trim
Heel measures approx 3"" H
Platform measures approx 1"" H
Made in Italy
Revolve Style No. GIZR-WZ66
Manufacturer Style No. RS00044",Black & White,,combat,block,fabric
Bronk Bootie,https://www.revolve.com/hazy-bronk-bootie/dp/HAAZ-WZ2/?d=Womens&page=1&lc=87&itrownum=42&itcurrpage=1&itview=05,HAZY,$119,$475,"Suede upper with leather sole
Side pull-on tabs
Stacked heel
Heel measures approx 4"" H
Made in Italy
Revolve Style No. HAAZ-WZ2
Manufacturer Style No. BRONK PA0011",taupe,,western,block,suede
Hudson Bootie,,HAZY,$62 (FINAL SALE),$440,"Snakeskin embossed leather upper with leather sole
Pull-on styling
Side elastic gussets
Heel measures approx 1.5"" H
Made in Italy
Revolve Style No. HAAZ-WZ7
Manufacturer Style No. HUDSON PA004",Grey Black Snake,,western,block,snake
Gloria Bootie,,HAZY,$282,$470,"Patent leather upper with leather sole
Side zipper closure
Pointed toe
Heel measures approx 2.5"" H
Made in Italy
Revolve Style No. HAAZ-WZ12
Manufacturer Style No. 305",tan,,kitten,kitten,patent
x REVOLVE Asher Bootie,https://www.revolve.com/house-of-harlow-1960-x-revolve-asher-bootie/dp/HOOF-WZ120/?d=Womens&page=1&lc=59&itrownum=11&itcurrpage=1&itview=05,House of Harlow 1960,$46 (FINAL SALE),$198,"The Asher Bootie by House of Harlow 1960 x REVOLVE is the perfect little black bootie to dress up any look. Featuring a flattering pointed toe and crystal embellished fringe, they're sure to become your fav go-to shoes. Pair with jeans for a more casual look, or tailored pants for a dressy occasion.
Suede upper with leather sole
Side zipper closure
Crystal embellished fringe detailing
Heel measures approx 4.25"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. HOOF-WZ120
Manufacturer Style No. HHSH23 H19",Black,,stiletto,stiletto,suede
x REVOLVE Jack Bootie,https://www.revolve.com/house-of-harlow-1960-x-revolve-jack-bootie/dp/HOOF-WZ118/?d=Womens&page=1&lc=14&itrownum=24&itcurrpage=1&itview=05,House of Harlow 1960,$69,$228,"Metallic leather upper with leather sole
Side zipper closure
Heel measures approx 3"" H
Shaft measures approx 4"" H
Imported
Revolve Style No. HOOF-WZ118
Manufacturer Style No. HHSH24 H19",Silver,,generic low block,block,leather
Lilia Bootie,https://www.revolve.com/iro-lilia-bootie/dp/IRO-WZ37/?d=Womens&page=1&lc=77&itrownum=40&itcurrpage=1&itview=05,IRO,$141 (FINAL SALE),$585,"Suede leather upper with leather sole
Side zipper closure
Heel measures approx 2.5"" H
Shaft measures approx 8.5"" H
Made in Portugal
Revolve Style No. IRO-WZ37
Manufacturer Style No. 19WWP37LILIA",beige,,kitten,kitten,suede
Sudeka Boot,https://www.revolve.com/iro-sudeka-boot/dp/IRO-WZ49/?d=Womens&page=1&lc=1&itrownum=45&itcurrpage=1&itview=05,IRO,$384,$640,"Suede upper with leather sole
Pull-on styling
Metal eyelet detail
Heel measures approx 4"" H
Shaft measures approx 6.5"" H
Made in Portugal
Revolve Style No. IRO-WZ49
Manufacturer Style No. 20SWM38SUDEKA",beige,,western,kitten,suede
Dacken Bootie,https://www.revolve.com/isabel-marant-dacken-bootie/dp/IMAR-WZ8/?d=Womens&page=1&lc=37&itrownum=30&itcurrpage=1&itview=05,Isabel Marant,$320,$640,"Suede upper with leather sole
Side zipper closure
Stitch detailing
Heel measures approx 1.75"" H
Shaft measures 5.25""H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ8
Manufacturer Style No. BO0166-20P025S",Taupe,,western,block,suede
Duerto Boot,https://www.revolve.com/isabel-marant-duerto-boot/dp/IMAR-WZ16/?d=Womens&page=1&lc=51&itrownum=33&itcurrpage=1&itview=05,Isabel Marant,$405,"$1,155","Calfskin leather upper with leather sole
Pull-on styling
Embroidered detail throughout
Heel measures approx 2"" H
Shaft measures approx 9.5"" H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ16
Manufacturer Style No. BO0448-20P024S",Black,,western,block,calf hair
Demka Bootie,https://www.revolve.com/isabel-marant-demka-bootie/dp/IMAR-WZ20/?d=Womens&page=1&lc=66&itrownum=37&itcurrpage=1&itview=05,Isabel Marant,$452,"$1,290","Calfskin leather upper with leather sole
Pull-on styling
Eyelet detail throughout
Heel measures approx 3"" H
Shaft measures approx 7.5"" H
Made in Italy
This item is not available for international export
Revolve Style No. IMAR-WZ20
Manufacturer Style No. BO0430-20P012S",Black,,western,kitten,calf hair
Dacken Bootie,https://www.revolve.com/isabel-marant-dacken-bootie/dp/IMAR-WZ7/?d=Womens&page=1&lc=72&itrownum=38&itcurrpage=1&itview=05,Isabel Marant,$293,$585,"Suede upper with leather sole
Side zipper closure
Stitch detailing
Heel measures approx 1.75"" H
Shaft measures 5.25""H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ7
Manufacturer Style No. BO0166-20P010S",Black,,western,block,suede
Crisi Bootie,https://www.revolve.com/isabel-marant-crisi-bootie/dp/IMAR-WZ11/?d=Womens&page=1&lc=73&itrownum=39&itcurrpage=1&itview=05,Isabel Marant,$385,$770,"Suede upper with leather sole
Pull-on styling
Stitch detailing
Heel measures approx 1"" H
Shaft measures 6"" H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ11
Manufacturer Style No. BO0103-20P025S",Black,,western,flat,suede
Dewina Bootie,,Isabel Marant,$385,$770,"Leather upper and sole
Pull-on styling
Heel measures approx 1.5"" H
Shaft measures 5.5""H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ9
Manufacturer Style No. BO0174-20P047S",black,,western,block,leather
Lasteen Bootie,,Isabel Marant,$585,$1170,"Lamb leather upper with leather sole
Pull-on styling
Heel measures approx 3.5"" H
Made in Italy
This item is not available for international export
Revolve Style No. IMAR-WZ15
Manufacturer Style No. BO0417-20P005S",white,,kitten,kitten,leather
Demka Bootie,,Isabel Marant,$317,$990,"Calf velvet leather upper with leather sole
Pull-on styling
Heel measures approx 3"" H
Shaft measures approx 7.5"" H
Made in Italy
This item is not available for international export
Revolve Style No. IMAR-WZ24
Manufacturer Style No. BO0466-20P011S",Taupe,,western,kitten,calf hair
Decken Bootie,,Isabel Marant,$293,$585,"Suede upper with leather sole
Side zipper closure
Stitch detailing
Heel measures approx 1.75"" H
Shaft measures 5.25""H
Made in Portugal
This item is not available for international export
Revolve Style No. IMAR-WZ7
Manufacturer Style No. BO0166-20P010S",Black,,western,block,suede
Bold Ankle Bootie,https://www.revolve.com/jaggar-bold-ankle-bootie/dp/JAGR-WZ121/?d=Womens&page=1&lc=2&itrownum=21&itcurrpage=1&itview=05,JAGGAR,$45 (FINAL SALE),$210,"Coated leather upper with leather sole
Side zipper closure
Square toe
Heel measures approx 3"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. JAGR-WZ121
Manufacturer Style No. 50190738",Brown,,retro block,block,patent
Scallop Ankle Bootie,,JAGGAR,$113,$201,"Leather upper and sole
Slip-on styling
Heel measures approx 3"" H
Imported
Revolve Style No. JAGR-WZ117
Manufacturer Style No. 50190736",white,,western,block,leather
LA Siren Bootie,https://www.revolve.com/jeffrey-campbell-la-siren-bootie/dp/JCAM-WZ1021/?d=Womens&page=1&lc=62&itrownum=12&itcurrpage=1&itview=05,Jeffrey Campbell,$122,$220,"Patent leather upper with man made sole
Side zipper closure
Heel measures approx 3.75"" H
Shaft measures approx 5.25"" H
Imported
Revolve Style No. JCAM-WZ1021
Manufacturer Style No. LA-SIREN",Black Patent,,retro block,block,patent
Elevated Bootie,https://www.revolve.com/jeffrey-campbell-elevated-bootie/dp/JCAM-WZ1018/?d=Womens&page=1&lc=72&itrownum=14&itcurrpage=1&itview=05,Jeffrey Campbell,$114,$175,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3.25"" H
Imported
Revolve Style No. JCAM-WZ1018
Manufacturer Style No. ELEVATED",White,,western,block,leather
Bentlee Bootie,https://www.revolve.com/jeffrey-campbell-bentlee-bootie/dp/JCAM-WZ968/?d=Womens&page=1&lc=79&itrownum=16&itcurrpage=1&itview=05,Jeffrey Campbell,$122,$220,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. JCAM-WZ968
Manufacturer Style No. BENTLEE",Brown,,retro block,block,leather
Valdosta Studded Bootie,https://www.revolve.com/jeffrey-campbell-valdosta-studded-bootie/dp/JCAM-WZ1047/?d=Womens&page=1&lc=82&itrownum=17&itcurrpage=1&itview=05,Jeffrey Campbell,,,"Studded leather upper with man made sole
Adjustable buckle strap
Cut-out detail
Metal toe hardware
Heel measures approx 3.25"" H
Imported
Revolve Style No. JCAM-WZ1047
Manufacturer Style No. VALDOSTA-2",Black & Silver,$315,western,block,leather
Kelam Bootie,https://www.revolve.com/jeffrey-campbell-kelam-bootie/dp/JCAM-WZ1009/?d=Womens&page=1&lc=13&itrownum=24&itcurrpage=1&itview=05,Jeffrey Campbell,$81,$135,"Leather upper with man made sole
Side zipper closure
Metal toe detailing
Heel measures approx 2.5"" H
Shaft measures 5.5"" H
Imported
Revolve Style No. JCAM-WZ1009
Manufacturer Style No. KELAM-MT",Black,,western,block,leather
Siren Bootie,https://www.revolve.com/jeffrey-campbell-siren-bootie/dp/JCAM-WZ973/?d=Womens&page=1&lc=15&itrownum=24&itcurrpage=1&itview=05,Jeffrey Campbell,$116,$165,"Snake skin embossed leather upper with man made sole
Side zipper closure
Heel measures approx 3.5"" H
Shaft measures approx 6.5"" H
Imported
Revolve Style No. JCAM-WZ973
Manufacturer Style No. SIREN 3",Snake,,generic high block,block,snake
Spliced Boot,https://www.revolve.com/jeffrey-campbell-spliced-boot/dp/JCAM-WZ974/?d=Womens&page=1&lc=16&itrownum=24&itcurrpage=1&itview=05,Jeffrey Campbell,$50 (FINAL SALE),$200,"Snake skin embossed leather upper with man made sole
Side zipper closure
Elastic ankle strap
Heel measures approx 4"" H
Shaft measures approx 5.25"" H
Imported
Revolve Style No. JCAM-WZ974
Manufacturer Style No. SPLICED",Snake,,western,kitten,snake
Czech Hi Bootie,https://www.revolve.com/jeffrey-campbell-czech-hi-bootie/dp/JCAM-WZ884/?d=Womens&page=1&lc=29&itrownum=28&itcurrpage=1&itview=05,Jeffrey Campbell,$116,$165,"Patent man made upper with man made sole
Side zipper closure
Lace-up front
Buckled ankle strap
Heel measures approx 2"" H
Imported
Revolve Style No. JCAM-WZ884
Manufacturer Style No. CZECH HI",Black,,hiker,block,patent
Caged Bootie,https://www.revolve.com/jeffrey-campbell-caged-bootie/dp/JCAM-WZ1016/?d=Womens&page=1&lc=39&itrownum=30&itcurrpage=1&itview=05,Jeffrey Campbell,$63,$215,"Suede and textile upper with man made sole
Back zipper closure
Iridescent crystal embellishments throughout
Heel measures approx 3.25"" H
Shaft measures approx 8.5"" H
Imported
Revolve Style No. JCAM-WZ1016
Manufacturer Style No. CAGED",Nude,,stiletto,stiletto,suede
Dormant Bootie,https://www.revolve.com/jeffrey-campbell-dormant-bootie/dp/JCAM-WZ999/?d=Womens&page=1&lc=82&itrownum=41&itcurrpage=1&itview=05,Jeffrey Campbell,$71,$180,"Faux snake embossed leather upper with man made sole
Side zipper closure
Heel measures approx 3.5"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. JCAM-WZ999
Manufacturer Style No. DORMANT",Grey Black Snake,,retro block,block,snake
Dotti Bootie,,Jeffrey Campbell,$140,$200,"Leather upper with man made sole
Lace-up front
Side zipper closure
Heel measures approx 3.25"" H
Imported
Revolve Style No. JCAM-WZ969
Manufacturer Style No. DOTTI",red,,heeled hiker,block,leather
Edith Bootie,https://www.revolve.com/jerome-dreyfuss-edith-bootie/dp/JERR-WZ19/?d=Womens&page=1&lc=53&itrownum=34&itcurrpage=1&itview=05,Jerome Dreyfuss,$147,$525,"Leather upper and sole
Pull-on styling
Elastic side gussets
Heel measures approx 2"" H
Shaft measures approx 5"" H
Made in Portugal
Revolve Style No. JERR-WZ19
Manufacturer Style No. 35EDIAG",black,,western,block,leather
Annie Bootie,,Jerome Dreyfuss,$283,$565,"Leather upper and sole
Pull-on styling
Heel measures approx 2.5"" H
Shaft measures approx 6"" H
Made in Portugal
Revolve Style No. JERR-WZ18
Manufacturer Style No. 35ANNIAG",black,,kitten,kitten,leather
Edith Bootie,,Jerome Dreyfuss,$138,$490,"Suede upper with leather sole
Pull-on styling
Elastic side gussets
Heel measures approx 2"" H
Shaft measures approx 5"" H
Made in Portugal
Revolve Style No. JERR-WZ20
Manufacturer Style No. 35EDICR",Brown,,western,block,suede
Ralti Bootie,https://www.revolve.com/joie-ralti-bootie/dp/JOIE-WZ337/?d=Womens&page=1&lc=75&itrownum=15&itcurrpage=1&itview=05,Joie,$112,$348,"Kid suede upper with leather sole
Pull-on styling
Elastic goring at sides
Almond toe
Heel measures approx 2.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. JOIE-WZ337
Manufacturer Style No. 19-5-003262-BT00764",Black,,kitten,kitten,suede
Abrianna Bootie,https://www.revolve.com/joie-abrianna-bootie/dp/JOIE-WZ334/?d=Womens&page=1&lc=83&itrownum=17&itcurrpage=1&itview=05,Joie,$133,$358,"Leather upper and sole
Pull-on styling
Side elastic gussets
Heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. JOIE-WZ334
Manufacturer Style No. 19-5-004674-BT00749",Black,,retro block,block,leather
Raster Bootie,https://www.revolve.com/joie-raster-bootie/dp/JOIE-WZ333/?d=Womens&page=1&lc=67&itrownum=37&itcurrpage=1&itview=05,Joie,$132,$398,"Snakeskin embossed leather upper with man made sole
Lace up front with buckle closure
Side zipper closure
Heel measures approx 2.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. JOIE-WZ333
Manufacturer Style No. 19 3 004743 BT00738",tan snake,,hiker,block,snake
Colt Bootie,https://www.revolve.com/kendall-kylie-colt-bootie/dp/KENR-WZ91/?d=Womens&page=1&lc=57&itrownum=11&itcurrpage=1&itview=05,KENDALL + KYLIE,,,"Leather upper with man made sole
Pull-on styling
Side elastic gussets
Heel measures approx 3.75"" H
Imported
Revolve Style No. KENR-WZ91
Manufacturer Style No. 74211",Black Regal Matte Leather,$75,western,block,leather
Zoe Bootie,https://www.revolve.com/kendall-kylie-zoe-bootie/dp/KENR-WZ123/?d=Womens&page=1&lc=66&itrownum=13&itcurrpage=1&itview=05,KENDALL + KYLIE,$48 (FINAL SALE),$145,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. KENR-WZ123
Manufacturer Style No. 75320",Pewter,,kitten,kitten,leather
Zoe Boot,https://www.revolve.com/kendall-kylie-zoe-boot/dp/KENR-WZ93/?d=Womens&page=1&lc=94&itrownum=20&itcurrpage=1&itview=05,KENDALL + KYLIE,,,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3.25"" H
Imported
Revolve Style No. KENR-WZ93
Manufacturer Style No. 76575",White ,$145,kitten,kitten,leather
Finigan Boot,https://www.revolve.com/kendall-kylie-finigan-boot/dp/KENR-WZ98/?d=Womens&page=1&lc=7&itrownum=22&itcurrpage=1&itview=05,KENDALL + KYLIE,,,"Leather upper with man made sole
Pull-on styling
Elastic side gussets
Heel measures approx 3"" H
Imported
Revolve Style No. KENR-WZ98
Manufacturer Style No. 74227",Black,$75,generic low block,block,leather
Finigan Bootie,https://www.revolve.com/kendall-kylie-finigan-bootie/dp/KENR-WZ124/?d=Womens&page=1&lc=17&itrownum=25&itcurrpage=1&itview=05,KENDALL + KYLIE,$32 (FINAL SALE),$160,"Metallic faux leather upper with man made sole
Pull-on styling
Elastic side gussets
Heel measures approx 3"" H
Shaft measures approx 4.5"" H
Imported
Revolve Style No. KENR-WZ124
Manufacturer Style No. 75321",silver,,generic low block,block,leather
Kara Bootie,https://www.revolve.com/kendall-kylie-kara-bootie/dp/KENR-WZ121/?d=Womens&page=1&lc=40&itrownum=30&itcurrpage=1&itview=05,KENDALL + KYLIE,$43 (FINAL SALE),$125,"Textile upper with manmade sole
Back zip closure
Heel measures approx 2"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. KENR-WZ121
Manufacturer Style No. 74278",Black,,kitten,kitten,fabric
Pierce Bootie,,KENDALL + KYLIE,,,"Leather upper with man made sole
Pull-on styling
Elastic side gussets
Heel measures approx 2"" H
Imported
Revolve Style No. KENR-WZ105
Manufacturer Style No. KKPIERCE",black,$150,kitten,kitten,leather
Orion Bootie,,KENDALL + KYLIE,$76,$135,"Textile stretch upper with man made sole
Back zipper closure
Heel measures approx 4"" H
Shaft measures approx 6.5"" H
Imported
Revolve Style No. KENR-WZ120
Manufacturer Style No. 74273",black,,stiletto,stiletto,fabric
Aylin Western Bootie,https://www.revolve.com/loeffler-randall-aylin-western-bootie/dp/LOEF-WZ320/?d=Womens&page=1&lc=94&itrownum=44&itcurrpage=1&itview=05,Loeffler Randall,$136,$450,"Snakeskin embossed leather upper with leather sole
Pull-on styling
Side elastic gussets
Heel measures approx 2"" H
Made in Brazil
Revolve Style No. LOEF-WZ320
Manufacturer Style No. AYLIN EMSK",Tan snake,,western,block,snake
Isla Slim Ankle Bootie,,Loeffler Randall,$253,$450,"Leather upper and sole
Side zipper closure
Heel measures approx 3.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. LOEF-WZ323
Manufacturer Style No. ISLA-STPA",black,,generic high block,block,leather
Juana Bootie,https://www.revolve.com/lola-cruz-juana-bootie/dp/LCRU-WZ57/?d=Womens&page=1&lc=5&itrownum=22&itcurrpage=1&itview=05,Lola Cruz,$83,$257,"Leather upper with man made sole
Pull-on styling
Silver tone heel trim
Heel measures approx 3.5"" H
Revolve Style No. LCRU-WZ57
Manufacturer Style No. 268T10BK",Black,,western,block,leather
Aspasia Bootie,https://www.revolve.com/lola-cruz-aspasia-bootie/dp/LCRU-WZ56/?d=Womens&page=1&lc=50&itrownum=33&itcurrpage=1&itview=05,Lola Cruz,$95,$269,"Leather upper with man made sole
Back zipper closure
Side elastic gussets
Heel measures approx 3.5"" H
Shaft measures approx 7"" H
Revolve Style No. LCRU-WZ56
Manufacturer Style No. 265T10BK",Black,,stiletto,stiletto,leather
Indira Bootie,https://www.revolve.com/lola-cruz-indira-bootie/dp/LCRU-WZ55/?d=Womens&page=1&lc=62&itrownum=36&itcurrpage=1&itview=05,Lola Cruz,$128,$278,"Leather upper with man made sole
Pull-on styling
Elasticized side gussets
Embroidery detail
Metal heel cap
Heel measures approx 2"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. LCRU-WZ55
Manufacturer Style No. 294T10BK",black,,western,block,leather
Rosa Bootie,,Lola Cruz,$94,$252,,Tan,,buckle,block,suede
Liana Bootie,https://www.revolve.com/lpa-liana-bootie/dp/LPAR-WZ37/?d=Womens&page=1&lc=88&itrownum=42&itcurrpage=1&itview=05,LPA,$38 (FINAL SALE),$198,"Snake embossed man made upper with leather sole
Pull-on styling
Heel measures approx 4"" H
Shaft measures approx 6.5"" H
Imported
Revolve Style No. LPAR-WZ37
Manufacturer Style No. LPSH70 F19",Green Snake,,western,stiletto,snake
Fifily Bootie,https://www.revolve.com/marc-fisher-x-elizabeth-sulcer-fifily-bootie/dp/MFES-WZ5/?d=Womens&page=1&lc=63&itrownum=36&itcurrpage=1&itview=05,Marc Fisher X Elizabeth Sulcer,$53 (FINAL SALE),$249,"Suede and real dyed calf hair upper with rubber sole
Fur Origin: Myanmar
Pull-on styling
Heel measures approx 3.5"" H
Imported
This item is not available for international export
Revolve Style No. MFES-WZ5
Manufacturer Style No. FIFILY",Zebra,,kitten,kitten,calf hair
Marcella Bootie,,Miista,$218,$435,"Snake embossed leather upper with leather sole
Side zipper closure
Square toe
Heel measures approx 3.5"" H
Shaft measures approx 6"" H
Made in Spain
Revolve Style No. MIIT-WZ15
Manufacturer Style No. MI_2552",Tan Snake,,stiletto,stiletto,snake
Holly Bootie,https://www.revolve.com/paige-holly-bootie/dp/PAIG-WZ15/?d=Womens&page=1&lc=69&itrownum=38&itcurrpage=1&itview=05,PAIGE,$104,$398,"Leather upper and leather sole
Slip-on styling
Side buckle accent
Heel measures approx 4"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. PAIG-WZ15
Manufacturer Style No. Sh18901-BLK",Black,,buckle,stiletto,leather
Celia Bootie,https://www.revolve.com/paige-celia-bootie/dp/PAIG-WZ14/?d=Womens&page=1&lc=74&itrownum=39&itcurrpage=1&itview=05,PAIGE,$148,$378,"Suede upper and man made sole
Side zipper closure
Heel measures approx 3"" H
Shaft measures approx 4.5"" H
Imported
Revolve Style No. PAIG-WZ14
Manufacturer Style No. SH18602-COG",tan,,generic high block,block,suede
London Bootie,https://www.revolve.com/paige-london-bootie/dp/PAIG-WZ6/?d=Womens&page=1&lc=75&itrownum=39&itcurrpage=1&itview=05,PAIGE,$216,$385,"Suede upper with leather sole
Pull-on styling
Elasticized side gussets
Silver tone buckle and chain accent
Heel measures approx 3.75"" H
Imported
Revolve Style No. PAIG-WZ6
Manufacturer Style No. PE023 001SD",Black,,buckle,block,suede
Libby Bootie,,PAIGE,,,"Snakeskin embossed goat leather upper with leather sole
Side zipper closure
Heel measures approx 2.75"" h
Imported
Revolve Style No. PAIG-WZ28
Manufacturer Style No. SH914705-BRM",Green Snake,$378,western,block,snake
Willa Bootie,,PAIGE,$116,$295,"Suede upper with leather sole
Pull-on styling
Side elastic gussets
Pull tab with turquoise concho
Heel measures approx 2"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. PAIG-WZ1
Manufacturer Style No. PE008 001SD",black,,western,block,suede
Willa Bootie,,PAIGE,$158,$350,"Snake embossed leather upper with leather sole
Pull-on styling
Side elastic gussets
Pull tab with turquoise concho
Heel measures approx 2"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. PAIG-WZ2
Manufacturer Style No. SH00805 ROC",White snake,,western,block,snake
Camille Bootie,,PAIGE,$136,$398,"Croc embossed leather upper with leather and man made sole
Pull-on styling
Brass tone side buckle accent
Heel measures approx 3.5"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. PAIG-WZ9
Manufacturer Style No. SH93612 BRC",brown crocc,,buckle,block,crocc
Kaylee Bootie,,PAIGE,$128,$398,"Croc embossed leather upper with leather sole
Side zipper closure
Heel measures approx 3.75"" H
Shaft measures approx 7"" H
Imported
Revolve Style No. PAIG-WZ17
Manufacturer Style No. SH19312-GRC",Black Crocc,,generic high block,block,crocc
Kaylee Bootie,,PAIGE,$108,$398,"Snake embossed leather with man made sole
Side zipper closure
Heel measures approx 3.75"" H
Shaft measures approx 7"" H
Imported
Revolve Style No. PAIG-WZ16
Manufacturer Style No. SH19205-TML",Tan Snake,,generic high block,block,snake
Nicole Bootie,,PAIGE,$110,$378,"Suede upper with leather and man made sole
Side zipper closure
Lace-up front
Padded collar
Heel measures approx 3.5"" H
Platform measures approx 0.5"" H
Imported
Revolve Style No. PAIG-WZ11
Manufacturer Style No. SH97202 COM",Tan ,,heeled hiker,block,suede
Walker Buckle Bootie,https://www.revolve.com/rag-bone-walker-buckle-bootie/dp/RGBR-WZ137/?d=Womens&page=1&lc=88&itrownum=18&itcurrpage=1&itview=05,Rag & Bone,$176,$475,"Suede upper with leather sole
Pull-on styling
Adjustable buckle accent
Heel measures approx 2"" H
Imported
Revolve Style No. RGBR-WZ137
Manufacturer Style No. WFF19FF001BA01",Brown,,generic low block,block,suede
Jet Chelsea Boot,https://www.revolve.com/rag-bone-jet-chelsea-boot/dp/RGBR-WZ151/?d=Womens&page=1&lc=30&itrownum=28&itcurrpage=1&itview=05,Rag & Bone,$216,$525,"Leather upper and sole
Pull-on styling
Side elastic gussets
Round heel
Square toe
Heel measures approx 2"" H
Shaft measures approx 6"" H
Revolve Style No. RGBR-WZ151
Manufacturer Style No. WFF20SF0239D23-BLK",Black,,kitten,kitten,leather
Willow Stud Bootie,,Rag & Bone,,,"Leather upper and sole
Back zip closure
Stud accents
Heel measures approx 2"" H
Revolve Style No. RGBR-WZ69
Manufacturer Style No. W275F392F",Black,$550,generic low block,block,leather
Walker Leather Boot,,Rag & Bone,,,"Leather upper and sole
Elasticized pull on styling
Heel measures approx 2"" H
Revolve Style No. RGBR-WZ61
Manufacturer Style No. W265F1072F",Black,$475,chelsea,block,leather
Walker Boot,,Rag & Bone,,,"Suede upper with leather sole
Elasticized pull on styling
Heel measures approx 2"" H
Revolve Style No. RGBR-WZ25
Manufacturer Style No. W265F1072E",taupe,$475,chelsea,block,suede
Shiloh High Ankle Boot,,Rag & Bone,$316,$595,"Leather upper with rubber sole
Pull-on styling
Side elastic gussets
Heel measures approx 3"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RGBR-WZ141
Manufacturer Style No. WFF19FF0243D24 BLK",Taupe,,heeled hiker,block,suede
Newbury 2.0 Bootie,,Rag & Bone,,,"Leather upper with rubber sole
Back zipper closure
Heel measures approx 3.5"" H
Made in USA
Revolve Style No. RGBR-WZ142
Manufacturer Style No. WFF19HF0501C55",Black,$495,generic high block,block,leather
Waylon Moto,,Rag & Bone,$167 (FINAL SALE),$695,"Leather upper with leather and rubber sole
Side zip closure
Rubberized stiletto heel
Treaded sole
Heel measures approx 4"" H
Shaft measures approx 4"" H
Made in Italy
Revolve Style No. RGBR-WZ145
Manufacturer Style No. WFF19HF0201Z20",Taupe,,kitten,kitten,suede
Beha Stretch Boot,,Rag & Bone,$237,$525,"Leather upper with sole lining
Side zipper closure
Rubberized heel
Heel measures approx 3"" H
Shaft measures approx 4.5"" H
Made in Italy
Revolve Style No. RGBR-WZ147
Manufacturer Style No. WFF19HF0199Q19-WARMGREY",beige,,kitten,kitten,suede
Razor Bootie,,Rag & Bone,$263,$495,"Suede upper and sole lining
Side zipper closure
Heel measures approx 3"" H
Imported
Revolve Style No. RGBR-WZ146
Manufacturer Style No. WFF19FF005BA05-GLDENBRW",tan,,western,block,suede
Waylon Moto,,Rag & Bone,$417,$595,"""Leather upper with leather and rubber sole
Side zip closure
Rubberized stiletto heel
Treaded sole
Heel measures approx 4"""" H
Shaft measures approx 4"""" H
Made in Italy
Revolve Style No. RGBR-WZ145
Manufacturer Style No. WFF19HF0201Z20""",black,,stiletto,stiletto,leather
Shiloh High Bootie,,Rag & Bone,,,"Suede upper with man made sole
Pull-on styling
Side elastic gusset
Heel measures approx 3.5"" H
Shaft measures approx 4"" H
Imported
Revolve Style No. RGBR-WZ148
Manufacturer Style No. WFF19HF0301F30-WARMGREY",Black,$595,chelsea,block,leather
Beha Moto Bootie,,Rag & Bone,$156,$575,"Snakeskin embossed leather upper with leather sole
Side zipper closure
Heel measures approx 3"" H
Made in Italy
Revolve Style No. RGBR-WZ135
Manufacturer Style No. WFF19FF0251D25 GLDENBRW",Tan Snake,,kitten,kitten,snake
