products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Blair Bootie,https://www.revolve.com/alias-mae-blair-bootie/dp/AMAE-WZ95/?d=Womens&page=1&lc=44&itrownum=7&itcurrpage=1&itview=05,Alias Mae,$154,$220,"Leather upper with man made sole
Side zipper closure
Elasticized side gussets
Heel measures approx 4"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. AMAE-WZ95
Manufacturer Style No. BLAIR",Green,,stiletto,stiletto,leather
Maja Bootie,https://www.revolve.com/alias-mae-maja-bootie/dp/AMAE-WZ88/?d=Womens&page=1&lc=54&itrownum=10&itcurrpage=1&itview=05,Alias Mae,$61,$200,"Leather upper with man made sole
Pull-on styling
Heel measures approx 2"" H
Imported
Revolve Style No. AMAE-WZ88
Manufacturer Style No. MAJA",Tan,,western,block,leather
Ahara Bootie,,Alias Mae,$72,$200,"Croc embossed patent leather upper with man made sole
Size zipper closure
Elastic gusset at collar
Heel measures approx 4"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. AMAE-WZ101
Manufacturer Style No. AHARA",Navy,,retro block,block,crocc
x REVOLVE Ahara Bootie,,Alias Mae,$98,$200,"Snakeskin embossed leather upper with man made sole
Side zip closure
Elastic gussets
Heel measureS approx 4"" H
Imported
Revolve Style No. AMAE-WZ75
Manufacturer Style No. AHARA",Pink,,retro block,block,snake
Ahara Bootie,,Alias Mae,$85,$200,"Patent leather upper with man made sole
Size zipper closure
Elastic gusset at collar
Heel measures approx 4"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. AMAE-WZ100
Manufacturer Style No. AHARA",White,,retro block,block,patent
Westra Bootie,https://www.revolve.com/alice-olivia-westra-bootie/dp/ALI-WZ128/?d=Womens&page=1&lc=6&itrownum=2&itcurrpage=1&itview=05,Alice + Olivia,$148,$475,"Croc embossed leather upper with leather sole
Pull-on styling
Side elastic gussets
Heel measures approx 3"" H
Imported
Revolve Style No. ALI-WZ128
Manufacturer Style No. SC908198117",Black,,western,block,crocc
Celyn Bootie,https://www.revolve.com/alice-olivia-celyn-bootie/dp/ALI-WZ135/?d=Womens&page=1&lc=35&itrownum=5&itcurrpage=1&itview=05,Alice + Olivia,$347,$495,"Leather upper and sole
Side zipper closure
Heel measures approx 3.75"" H
Imported
Revolve Style No. ALI-WZ135
Manufacturer Style No. SC911186102",White,,stiletto,stiletto,leather
Celyn Bootie,https://www.revolve.com/alice-olivia-celyn-bootie/dp/ALI-WZ130/?d=Womens&page=1&lc=48&itrownum=8&itcurrpage=1&itview=05,Alice + Olivia,$104 (FINAL SALE),$495,"Real dyed calf hair upper with leather sole
Fur Origin: China
Side zipper closure
Heel measures approx 4"" H
Imported
This item is not available for international export
Revolve Style No. ALI-WZ130
Manufacturer Style No. SC909186103",Zebra,,stiletto,stiletto,calf hair
Celyn Bootie,,Alice + Olivia,$347,$495,"Leather upper and sole
Side zipper closure
Heel measures approx 3.75"" H
Imported
Revolve Style No. ALI-WZ135
Manufacturer Style No. SC911186102",white,,stiletto,stiletto,leather
Ana Bootie,https://www.revolve.com/allsaints-ana-bootie/dp/ALLR-WZ44/?d=Womens&page=1&lc=2&itrownum=1&itcurrpage=1&itview=05,ALLSAINTS,$160,$380,"Leather upper with rubber sole
Side zipper with snap button closure
Heel measures approx 4.5"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. ALLR-WZ44
Manufacturer Style No. ZW0103",Black,,healed hiker,block,leather
